,0,1,2,3
16523,0.98150235,440772000.0,538004149.0,202.87749
22411,0.97896683,440986000.0,538004149.0,207.20471
26827,0.97731656,518100405.0,538004149.0,205.71564
24435,0.97430307,441418000.0,538004149.0,204.73796
17811,0.9730046,440807000.0,538004149.0,204.17596
27195,0.9721362,538004149.0,538004149.0,207.88087
3827,0.97083896,352001165.0,538004149.0,206.80154
16509,0.9700113,440772000.0,441427000.0,203.24875
6587,0.96992594,412420906.0,538004149.0,203.58827
4195,0.96991885,412209233.0,538004149.0,203.5982
4011,0.9691205,352002409.0,538004149.0,213.06024
16439,0.96848565,440772000.0,440503000.0,209.48947
30323,0.9666454,987767006.0,538004149.0,213.91698
30139,0.96663105,987767002.0,538004149.0,213.92795
4747,0.9666109,412328755.0,538004149.0,213.93996
24619,0.96653336,441427000.0,538004149.0,206.07031
29955,0.96627676,987711004.0,538004149.0,214.03824
4563,0.9662734,412326893.0,538004149.0,214.03986
33819,0.96627265,1987711003.0,538004149.0,214.04025
31611,0.9662723,994310142.0,538004149.0,214.04
29771,0.96626985,987711002.0,538004149.0,214.04248
22779,0.9662437,440989000.0,538004149.0,204.67052
27379,0.96548826,544117120.0,538004149.0,212.42345
22397,0.96528405,440986000.0,441427000.0,208.46277
22327,0.9632505,440986000.0,440503000.0,213.55952
23515,0.9632491,441043000.0,538004149.0,199.09496
26813,0.962368,518100405.0,441427000.0,206.70164
8611,0.9609599,416248700.0,538004149.0,198.0216
6955,0.9608449,412549296.0,538004149.0,198.06387
28483,0.96082944,576872000.0,538004149.0,200.15802
10646,0.96078765,440079000.0,577201000.0,210.43034
5115,0.9605154,412329429.0,538004149.0,202.86218
5483,0.96047235,412329432.0,538004149.0,202.88249
26743,0.9603793,518100405.0,440503000.0,210.55658
8979,0.95951116,416791000.0,538004149.0,205.04607
24329,0.9594099,441418000.0,413379250.0,212.36333
28299,0.958942,576699000.0,538004149.0,205.00146
24421,0.9582384,441418000.0,441427000.0,206.14821
13958,0.95802987,440641000.0,577201000.0,210.81998
16417,0.95772666,440772000.0,413379250.0,208.4521
24351,0.956689,441418000.0,440503000.0,211.51758
16376,0.9563131,440772000.0,0.0,208.328
17797,0.9558882,440807000.0,441427000.0,204.80208
