test_mae,test_mre,test_rmse,y2,y1
30.23525367,0.573696786,42.872188,1,0
30.23723333,0.573734363,42.873772,1,0.001
30.234111,0.573675104,42.87153733,1,0.01
30.28670333,0.574673003,42.85217,1,0.1
29.784695,0.565147695,42.79920467,1,0.3
29.97892033,0.568833002,42.76029367,1,0.5
29.816909,0.565758942,42.78735467,1,0.7
29.90387233,0.567409016,42.77923967,1,1
30.45393633,0.577846163,42.91209733,0.7,0
30.45180867,0.577805815,42.919585,0.7,0.001
29.754915,0.56458264,42.74548267,0.7,0.01
29.677835,0.56312009,42.74075533,0.7,0.1
30.328109,0.575458664,42.88554633,0.7,0.3
29.777289,0.565007174,42.73704833,0.7,0.5
29.71053867,0.563740619,42.74642567,0.7,0.7
29.714932,0.563823983,42.763943,0.7,1
29.47137767,0.559202676,42.93789967,0.5,0
29.47506467,0.559272639,42.93270467,0.5,0.001
30.272811,0.574409424,43.05881433,0.5,0.01
29.43727433,0.558555592,42.96251833,0.5,0.1
30.31920333,0.575289675,43.01151567,0.5,0.3
30.731937,0.583121081,43.13854433,0.5,0.5
30.18615867,0.572765238,42.960024,0.5,0.7
29.636041,0.562327076,42.91063467,0.5,1
30.63287667,0.581241452,42.99366367,0.3,0
30.114958,0.571414232,42.83598867,0.3,0.001
30.578693,0.580213342,43.11933767,0.3,0.01
29.80059733,0.565449431,42.82090533,0.3,0.1
29.921071,0.56773535,42.80666767,0.3,0.3
30.73741833,0.583225097,43.076486,0.3,0.5
30.23008567,0.573598731,42.923365,0.3,0.7
30.91697933,0.586632148,43.276543,0.3,1
30.22432,0.573489319,42.85017,0.1,0
30.15569633,0.572187232,42.72533167,0.1,0.001
30.153374,0.572143172,42.854021,0.1,0.01
30.29165833,0.574767041,42.86710833,0.1,0.1
30.435979,0.577505442,42.73850567,0.1,0.3
30.27901433,0.574527117,42.74797033,0.1,0.5
30.235167,0.573695147,42.732535,0.1,0.7
29.64980033,0.562588132,42.722635,0.1,1
29.69560233,0.563457215,42.82644933,0.01,0
29.584679,0.561352512,42.85705833,0.01,0.001
29.79197433,0.565285822,42.816919,0.01,0.01
29.64943667,0.562581243,42.79146633,0.01,0.1
29.64532033,0.562503129,42.83965167,0.01,0.3
29.60382833,0.561715858,42.85233667,0.01,0.5
29.62861633,0.562186193,42.78033333,0.01,0.7
29.65941067,0.562770493,42.83882667,0.01,1
30.58000833,0.580238302,42.86169833,0.001,0
30.56057167,0.579869517,42.818012,0.001,0.001
30.38823633,0.57659955,42.84677967,0.001,0.01
31.00770767,0.588353664,43.13411233,0.001,0.1
30.842463,0.585218242,42.918911,0.001,0.3
30.88588067,0.58604206,43.100854,0.001,0.5
30.50819867,0.578875766,42.94479167,0.001,0.7
29.71918633,0.563904707,42.76493933,0.001,1
30.946223,0.587187021,42.904189,0,0
31.14126467,0.590887818,42.92810733,0,0.001
30.570747,0.580062583,42.837124,0,0.01
30.74739667,0.58341442,42.919275,0,0.1
31.06721033,0.5894827,42.97561133,0,0.3
30.713692,0.582774877,42.83194733,0,0.5
30.201294,0.573052414,42.75996267,0,0.7
30.439511,0.577572446,42.76698,0,1
