test_mae,test_mre,test_rmse,max_mae_LPS_test,min_mae_LPS_test,max_mre_LPS_test,min_mre_LPS_test,max_rmse_LPS_test,min_rmse_LPS_test,all_mae_LPS_test,all_mre_LPS_test,all_rmse_LPS_test,max_mae_CC_test,min_mae_CC_test,max_mre_CC_test,min_mre_CC_test,max_rmse_CC_test,min_rmse_CC_test,all_mae_CC_test,all_mre_CC_test,all_rmse_CC_test,max_mae_KHR_test,min_mae_KHR_test,max_mre_KHR_test,min_mre_KHR_test,max_rmse_KHR_test,min_rmse_KHR_test,all_mae_KHR_test,all_mre_KHR_test,all_rmse_KHR_test,val_mae,val_mre,val_rmse,max_mae_LPS_val,min_mae_LPS_val,max_mre_LPS_val,min_mre_LPS_val,max_rmse_LPS_val,min_rmse_LPS_val,all_mae_LPS_val,all_mre_LPS_val,all_rmse_LPS_val,max_mae_CC_val,min_mae_CC_val,max_mre_CC_val,min_mre_CC_val,max_rmse_CC_val,min_rmse_CC_val,all_mae_CC_val,all_mre_CC_val,all_rmse_CC_val,max_mae_KHR_val,min_mae_KHR_val,max_mre_KHR_val,min_mre_KHR_val,max_rmse_KHR_val,min_rmse_KHR_val,all_mae_KHR_val,all_mre_KHR_val,all_rmse_KHR_val,model,db,seed
25.142168,0.3496757434634664,46.2016,33.05719,20.696316,0.4131816437640525,0.2964867036907762,64.12504,32.131077,"[24.249092, 20.696316, 29.71982, 33.05719, 21.77835]","[0.4131816437640525, 0.3686034338298946, 0.3910182022643502, 0.3496447389638383, 0.2964867036907762]","[34.83661, 32.131077, 60.10393, 64.12504, 38.186172]",33.35484,21.77835,0.4328886779450608,0.2964867036907762,63.214516,34.83661,"[24.249092, 33.35484, 24.921864, 24.828236, 21.77835]","[0.4131816437640525, 0.4328886779450608, 0.35997256576329684, 0.31459509193475804, 0.2964867036907762]","[34.83661, 63.214516, 49.329235, 47.42366, 38.186172]",27.658817,25.008297,0.5236529459328725,0.0,46.646255,36.856945,"[25.008297, 27.658817, nan, nan, nan]","[0.3429721254449993, 0.5236529459328725, 0.0, 0.0, 0.0]","[46.646255, 36.856945, nan, nan, nan]",27.828594,0.33654069526035235,49.05295,35.467724,20.916176,0.4227667674613564,0.29799366101338987,70.457184,34.292484,"[26.16984, 20.916176, 35.467724, 32.17216, 26.65518]","[0.4227667674613564, 0.323403307691142, 0.39374823704282713, 0.31403450552796836, 0.29799366101338987]","[38.66818, 34.292484, 70.457184, 53.83128, 45.901825]",38.610542,21.603025,0.43012379351519886,0.2949446155523947,72.77212,36.35643,"[26.16984, 38.610542, 21.603025, 28.269402, 26.65518]","[0.4227667674613564, 0.43012379351519886, 0.2949446155523947, 0.3025166917306075, 0.29799366101338987]","[38.66818, 72.77212, 36.35643, 48.8455, 45.901825]",27.976616,25.411678,0.5085864515789422,0.0,49.919228,31.721294,"[27.976616, 25.411678, nan, nan, nan]","[0.3303246807087892, 0.5085864515789422, 0.0, 0.0, 0.0]","[49.919228, 31.721294, nan, nan, nan]",geode,aqism,15900376
9.166471,0.1596874338649268,12.239778,11.745015,6.3287644,0.21338011691278488,0.10621606635621829,15.153621,9.672837,"[8.271037, 10.0006075, 11.745015, 10.175338, 6.3287644]","[0.13561331908583568, 0.1755764026271831, 0.21338011691278488, 0.1887775308703212, 0.10621606635621829]","[10.255607, 13.018445, 15.153621, 12.886725, 9.672837]",11.260602,6.787622,0.20202638988891294,0.1193669463838604,14.614379,10.074006,"[8.305358, 11.260602, 11.052433, 8.930215, 6.787622]","[0.139824705088368, 0.20202638988891294, 0.18865888963138655, 0.15789923127785468, 0.1193669463838604]","[10.527471, 14.614379, 13.888579, 11.838497, 10.074006]",12.529883,8.013104,0.22748073783293116,0.0,15.752347,9.446261,"[8.375064, 12.529883, 8.788476, 8.013104, nan]","[0.14598437254129268, 0.22748073783293116, 0.14927787282594196, 0.13377816942420764, 0.0]","[11.520393, 15.752347, 11.448366, 9.446261, nan]",8.736698,0.14594523410760518,11.482599,10.699208,5.4784503,0.18155457679219467,0.0887289186173474,13.852548,8.525608,"[8.691326, 9.772002, 10.699208, 9.761647, 5.4784503]","[0.13946150779183045, 0.16366497518231973, 0.18155457679219467, 0.17352878997664217, 0.0887289186173474]","[10.4705105, 12.07578, 13.852548, 12.356998, 8.525608]",10.995118,6.0175543,0.18177276259119918,0.10153379919388016,13.712343,9.14792,"[8.652506, 10.163132, 10.995118, 8.4452715, 6.0175543]","[0.14085488882511568, 0.17114502587940392, 0.18177276259119918, 0.14341535648097828, 0.10153379919388016]","[10.3097105, 12.893408, 13.712343, 11.189012, 9.14792]",11.296543,7.9096317,0.19189635650256173,0.0,14.044577,9.857293,"[7.9096317, 11.296543, 8.93856, 8.677299, nan]","[0.132702098641594, 0.19189635650256173, 0.1463902927065118, 0.1409485698546968, 0.0]","[10.956721, 14.044577, 10.945435, 9.857293, nan]",geode,metrla,15900376
2.9928205,0.6086901292642755,5.7788653,5.470984,1.2901005,1.1387736297622801,0.32576351958501726,7.809777,2.6529958,"[5.470984, 3.5064032, 3.5096862, 1.2901005, 1.6118445]","[1.1387736297622801, 0.6268960820634459, 0.5555307973470861, 0.32576351958501726, 0.3887870162108052]","[6.783435, 6.8921795, 7.809777, 2.6529958, 3.4653645]",5.470984,1.9473404,1.1387736297622801,0.4413592069824334,6.783435,4.406399,"[5.470984, 3.5292156, 2.1074715, 2.2307777, 1.9473404]","[1.1387736297622801, 0.6022178234530774, 0.4564197046189095, 0.4421575372644568, 0.4413592069824334]","[6.783435, 6.647419, 5.0976224, 5.9726324, 4.406399]",8.904004,2.72413,1.668881898053366,0.0,10.858354,5.436357,"[2.72413, 8.904004, nan, nan, nan]","[0.5561947799232718, 1.668881898053366, 0.0, 0.0, 0.0]","[5.436357, 10.858354, nan, nan, nan]",3.4744244,0.539491127782995,6.625849,5.7722955,1.5267291,0.9438599645241998,0.2819986237425223,9.46692,2.872403,"[5.7722955, 4.089199, 4.449554, 1.5267291, 1.9908328]","[0.9438599645241998, 0.575886826323579, 0.5441318603776992, 0.2819986237425223, 0.35300771671726855]","[7.2562776, 7.7120743, 9.46692, 2.872403, 4.1951785]",5.7722955,2.3640668,0.9438599645241998,0.4014368385291497,7.725558,5.1034036,"[5.7722955, 4.2011404, 2.4664779, 2.9097881, 2.3640668]","[0.9438599645241998, 0.5671104556642946, 0.40539116256241164, 0.42332080855969473, 0.4014368385291497]","[7.2562776, 7.725558, 5.521605, 7.492213, 5.1034036]",9.274542,3.2107825,1.4139575057122027,0.0,11.490972,6.3162875,"[3.2107825, 9.274542, nan, nan, nan]","[0.4989736199355254, 1.4139575057122027, 0.0, 0.0, 0.0]","[6.3162875, 11.490972, nan, nan, nan]",geode,nrel-al,15900376
4.5023804,0.7003867498365174,11.016346,5.874314,3.277726,0.8576777423146159,0.5927157505966008,13.857753,8.151642,"[5.874314, 4.4415045, 4.4166565, 3.277726, 4.5016956]","[0.8576777423146159, 0.6672384422784285, 0.7203860991865313, 0.5927157505966008, 0.6453593760632996]","[13.857753, 10.144958, 11.749211, 8.151642, 10.360921]",5.508673,2.609791,0.8573345522059117,0.4794233799385321,13.498777,5.628565,"[4.6159525, 5.508673, 2.609791, 5.3454304, 4.4320498]","[0.8573345522059117, 0.7011943397618196, 0.4794233799385321, 0.6815228851210169, 0.7893333605425065]","[10.483896, 13.498777, 5.628565, 13.288888, 10.314793]",4.5023804,4.5023804,0.7003867498365174,0.0,11.016346,11.016346,"[4.5023804, nan, nan, nan, nan]","[0.7003867498365174, 0.0, 0.0, 0.0, 0.0]","[11.016346, nan, nan, nan, nan]",6.2358236,0.6960754987498091,14.227877,7.9821486,4.8562155,0.8388268759950954,0.6001788779509163,17.650415,11.392803,"[7.9821486, 5.9386415, 5.628279, 4.8562155, 6.7738338]","[0.8388268759950954, 0.6688295920256605, 0.6977553689496909, 0.6001788779509163, 0.6614953143825455]","[17.650415, 12.572977, 14.109035, 11.392803, 14.617959]",7.5872765,3.7655048,0.8379934394330028,0.4930525581675148,17.45737,7.682077,"[6.5583115, 7.1605334, 3.7655048, 7.5872765, 6.1074915]","[0.8379934394330028, 0.6935890267577696, 0.4930525581675148, 0.6809946849287424, 0.7766345454345751]","[14.29049, 16.183134, 7.682077, 17.45737, 13.5009775]",6.2358236,6.2358236,0.6960754987498091,0.0,14.227877,14.227877,"[6.2358236, nan, nan, nan, nan]","[0.6960754987498091, 0.0, 0.0, 0.0, 0.0]","[14.227877, nan, nan, nan, nan]",geode,nrel-md,15900376
119.40796,0.5524486498024194,154.45331,145.58044,103.85735,0.578647012764634,0.5249922880258748,183.97617,136.89276,"[124.12385, 145.58044, 113.24176, 112.30983, 103.85735]","[0.5661537963344179, 0.5549135473305273, 0.5401399039712017, 0.578647012764634, 0.5249922880258748]","[157.87022, 183.97617, 148.60397, 142.71783, 136.89276]",131.33638,106.31093,0.6156543227981768,0.5144244015119888,173.5434,136.47676,"[115.03852, 122.753525, 106.31093, 120.00996, 131.33638]","[0.6156543227981768, 0.5719773714193778, 0.5207477375244797, 0.5593107711091609, 0.5144244015119888]","[143.25076, 159.40225, 136.47676, 154.17938, 173.5434]",102.21212,93.49278,0.899152099336134,0.0,144.42291,102.535675,"[102.21212, 93.49278, 93.756516, nan, nan]","[0.4715112895920395, 0.4831704046885794, 0.899152099336134, 0.0, 0.0]","[144.42291, 125.37158, 102.535675, nan, nan]",124.27626,0.5512373696952894,161.23131,152.4969,105.29925,0.5708196914402055,0.5209079317944728,192.08452,139.06264,"[130.4739, 152.4969, 119.14036, 116.50126, 105.29925]","[0.5655517728346037, 0.5565077080120507, 0.5430573740925054, 0.5708196914402055, 0.5209079317944728]","[166.05658, 192.08452, 157.26129, 149.41386, 139.06264]",137.702,109.76328,0.6032875314609631,0.5171987025081991,181.1133,141.46625,"[118.75554, 128.09338, 109.76328, 125.27721, 137.702]","[0.6032875314609631, 0.5698270239283132, 0.5171987025081991, 0.5598039228832271, 0.5208101062160772]","[149.54597, 167.45749, 141.46625, 160.77751, 181.1133]",106.52954,96.77933,1.0418399881513527,0.0,150.79286,105.211494,"[106.52954, 96.77933, 100.04442, nan, nan]","[0.47547022552728585, 0.4804279269280062, 1.0418399881513527, 0.0, 0.0]","[150.79286, 130.5847, 105.211494, nan, nan]",geode,pem04,15900376
109.303185,0.5617559007903863,140.53336,125.81115,81.21863,0.6804725351384437,0.4560299171960696,156.13416,111.04913,"[114.05235, 125.81115, 120.8473, 105.18248, 81.21863]","[0.5887994388016317, 0.6804725351384437, 0.6323533559975784, 0.4560299171960696, 0.4705683127486527]","[136.19135, 148.77225, 156.13416, 146.76096, 111.04913]",126.839714,83.894394,0.697480433136538,0.4508123289489194,153.4415,114.2367,"[111.81767, 126.839714, 116.40921, 108.2947, 83.894394]","[0.5808463947473842, 0.697480433136538, 0.6427835988967596, 0.4508123289489194, 0.47657557736478184]","[132.75247, 150.27345, 148.56233, 153.4415, 114.2367]",125.07834,80.81037,0.7226066452563555,0.43702538200938434,159.30487,110.46122,"[80.81037, 97.49669, 116.83291, 125.07834, 124.533356]","[0.43702538200938434, 0.43843574499308224, 0.5994770291195188, 0.7226066452563555, 0.6218733088478636]","[110.46122, 139.73532, 154.11497, 159.30487, 147.54413]",92.89018,0.6093396115419686,117.41661,107.956505,67.21936,0.7582471889833651,0.47276031582416594,131.21997,93.86542,"[95.08389, 107.956505, 107.18821, 87.083755, 67.21936]","[0.6490699005245643, 0.7582471889833651, 0.7065554337924604, 0.47276031582416594, 0.487317709648419]","[114.35198, 124.59365, 131.21997, 119.83621, 93.86542]",109.30148,68.718704,0.7940477589846541,0.45696440878641365,128.2832,96.22003,"[93.03886, 109.30148, 106.220665, 87.497475, 68.718704]","[0.6321544150381471, 0.7940477589846541, 0.7325358683862458, 0.45696440878641365, 0.48856028226996373]","[112.15908, 125.16005, 128.2832, 122.56204, 96.22003]",115.57566,67.69065,0.83437320900696,0.4522397452633933,137.61374,94.30033,"[67.69065, 80.39037, 104.05738, 115.57566, 102.20236]","[0.45612021419816967, 0.4522397452633933, 0.6725850534659515, 0.83437320900696, 0.6728829994816634]","[94.30033, 114.19494, 129.77362, 137.61374, 120.65793]",geode,sd,15900376

23.607239,0.32832802951704204,43.622925,32.483128,19.781113,0.36864091238735314,0.2761174149746199,61.618286,30.474508,"[21.220734, 19.781113, 28.019007, 32.483128, 20.28213]","[0.36158125915634004, 0.35230357270386564, 0.36864091238735314, 0.34357289195991997, 0.2761174149746199]","[32.36137, 30.474508, 56.4628, 61.618286, 35.59562]",31.596104,20.28213,0.4100633194234432,0.2761174149746199,59.437542,32.36137,"[21.220734, 31.596104, 24.09463, 24.192049, 20.28213]","[0.36158125915634004, 0.4100633194234432, 0.3480239337277051, 0.3065340600523252, 0.2761174149746199]","[32.36137, 59.437542, 47.298244, 45.476463, 35.59562]",23.683218,22.17877,0.41990150583339086,0.0,44.152554,32.077526,"[23.683218, 22.17877, nan, nan, nan]","[0.32479956098886287, 0.41990150583339086, 0.0, 0.0, 0.0]","[44.152554, 32.077526, nan, nan, nan]",24.314877,0.29404810180097224,43.20031,31.053255,18.774355,0.34158997125973056,0.2553164087765147,61.598606,30.622864,"[20.73237, 18.774355, 30.769455, 31.053255, 22.83775]","[0.3349258801671317, 0.2902867142151368, 0.34158997125973056, 0.3031127834298425, 0.2553164087765147]","[33.919727, 30.622864, 61.598606, 50.67986, 38.750454]",33.693405,20.527357,0.3753465834274551,0.2553164087765147,63.7142,33.919727,"[20.73237, 33.693405, 20.527357, 26.276237, 22.83775]","[0.3349258801671317, 0.3753465834274551, 0.2802585999681158, 0.2811874355609323, 0.2553164087765147]","[33.919727, 63.7142, 34.513798, 44.922237, 38.750454]",24.713434,17.807083,0.35638896599554043,0.0,44.03121,26.129848,"[24.713434, 17.807083, nan, nan, nan]","[0.29179574235178296, 0.35638896599554043, 0.0, 0.0, 0.0]","[44.03121, 26.129848, nan, nan, nan]",geode,aqism,15900376
24.187897,0.3364038024195294,43.75725,31.816755,19.632929,0.4119012566681688,0.26727931084270945,60.469715,31.617846,"[24.173948, 21.600872, 28.702282, 31.816755, 19.632929]","[0.4119012566681688, 0.3847136716508594, 0.37763064755364967, 0.33652471248181764, 0.26727931084270945]","[35.036335, 31.617846, 57.09569, 60.469715, 34.773304]",33.56631,19.632929,0.43563324513712504,0.26727931084270945,60.359165,34.773304,"[24.173948, 33.56631, 25.168959, 23.116816, 19.632929]","[0.4119012566681688, 0.43563324513712504, 0.3635415956697033, 0.29290992500138524, 0.26727931084270945]","[35.036335, 60.359165, 47.50548, 44.189888, 34.773304]",24.408655,24.176151,0.4621189897335776,0.0,44.220024,33.90106,"[24.176151, 24.408655, nan, nan, nan]","[0.3315598093678401, 0.4621189897335776, 0.0, 0.0, 0.0]","[44.220024, 33.90106, nan, nan, nan]",24.296762,0.2938290332078321,42.33542,31.150932,19.67487,0.3479672390067053,0.24495500484333213,61.865105,31.82702,"[21.539648, 19.67487, 31.150932, 30.756062, 21.910934]","[0.3479672390067053, 0.3042103838834144, 0.3458249680880324, 0.300211864521586, 0.24495500484333213]","[34.764763, 31.82702, 61.865105, 49.169094, 35.73813]",34.919,21.486021,0.38899976724959096,0.24495500484333213,64.094215,34.764763,"[21.539648, 34.919, 21.486021, 25.125748, 21.910934]","[0.3479672390067053, 0.38899976724959096, 0.29334717313810443, 0.2688758066980239, 0.24495500484333213]","[34.764763, 64.094215, 36.44947, 42.30312, 35.73813]",24.707617,17.588121,0.35200667554829795,0.0,43.085804,27.306732,"[24.707617, 17.588121, nan, nan, nan]","[0.291727046635088, 0.35200667554829795, 0.0, 0.0, 0.0]","[43.085804, 27.306732, nan, nan, nan]",geode,aqism,72833750
25.234573,0.35096091055052053,44.19483,33.264324,20.009697,0.4408901507470495,0.2724085573085303,61.494873,32.196243,"[25.875269, 23.159925, 29.566193, 33.264324, 20.009697]","[0.4408901507470495, 0.41248055698104347, 0.3889969572482552, 0.35183559086838273, 0.2724085573085303]","[35.603134, 32.196243, 56.96784, 61.494873, 35.122715]",34.587284,20.009697,0.44888370422664103,0.2724085573085303,60.41119,35.122715,"[25.875269, 34.587284, 26.37297, 24.742508, 20.009697]","[0.4408901507470495, 0.44888370422664103, 0.38093240507104714, 0.3135088666886573, 0.2724085573085303]","[35.603134, 60.41119, 47.899693, 45.276848, 35.122715]",25.903585,25.198992,0.49042187758823286,0.0,44.643574,34.694553,"[25.198992, 25.903585, nan, nan, nan]","[0.3455873815310005, 0.49042187758823286, 0.0, 0.0, 0.0]","[44.643574, 34.694553, nan, nan, nan]",25.249022,0.3053450310120233,43.048,32.204147,20.437721,0.38016609395051326,0.25163746689377925,62.020622,31.440645,"[23.5328, 20.437721, 32.204147, 31.457464, 22.508673]","[0.38016609395051326, 0.31600548003448004, 0.3575173549728008, 0.3070582919046943, 0.25163746689377925]","[35.620872, 31.440645, 62.020622, 50.246742, 37.107414]",36.003796,21.738613,0.40108446838160994,0.25163746689377925,64.30157,35.620872,"[23.5328, 36.003796, 21.738613, 26.322002, 22.508673]","[0.38016609395051326, 0.40108446838160994, 0.29679578670772716, 0.28167718352569954, 0.25163746689377925]","[35.620872, 64.30157, 35.976974, 43.573875, 37.107414]",25.557169,20.21748,0.40463035702408223,0.0,43.7644,28.94178,"[25.557169, 20.21748, nan, nan, nan]","[0.30175785047610326, 0.40463035702408223, 0.0, 0.0, 0.0]","[43.7644, 28.94178, nan, nan, nan]",geode,aqism,51547402
