test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
24.746117,0.3653347632904126,2021.1324,44.95701,33.020817,0.3758729224443944,2924.2803,54.076614,geode,aqism,15900376
30.950413,0.5904645688651285,1770.7394,42.080154,35.326824,0.5814362653703963,2512.1873,50.121723,geode,aqi,15900376
2.435395,0.4521011738651067,28.589378,5.346904,2.8901665,0.4200940460257319,36.255875,6.021285,geode,nrel-al,15900376
4.009347,0.6343762367742577,100.02735,10.001368,5.454225,0.6284171779611119,158.03128,12.57105,geode,nrel-md,15900376
81.39869,0.45231430373020726,11465.833,107.07863,79.93914,0.4566859814558397,11150.45,105.595695,geode,sd,15900376
24.242752,0.35790344736259816,1985.1613,44.55515,32.118317,0.3655998723037343,2799.0095,52.905666,geode,aqism,15900376

0.003958849,0.3698913170549875,2.8140823e-05,0.0053047924,0.0034682208,0.3910428901566264,2.2996192e-05,0.0047954344,geode,aircross,15900376
0.0038122882,0.35619757343756764,2.8391089e-05,0.005328329,0.003243479,0.3657031632691627,2.2814216e-05,0.004776423,geode,aircross,63273150
0.0037056995,0.3462385595303843,2.5280997e-05,0.005028021,0.0032413697,0.36546536306209104,2.1472326e-05,0.0046338243,geode,aircross,10799678
0.003969693,0.37090453267777806,2.8211201e-05,0.0053114216,0.0033742432,0.38044687009978373,2.1771131e-05,0.0046659545,geode,aircross,72833750
0.0037508665,0.35045869937132756,2.7012982e-05,0.0051974016,0.0032301606,0.36420151292334735,2.2821547e-05,0.0047771903,geode,aircross,53728009
0.003968688,0.3708106512500648,2.9561626e-05,0.0054370603,0.0033628577,0.37916315628102903,2.3566912e-05,0.004854576,geode,aircross,51547402

0.0035585037,0.3324854540285067,2.500033e-05,0.005000033,0.0031578015,0.35604302331580334,2.2360584e-05,0.0047286977,geode,aircross,15900376
0.003749177,0.35030084786770255,2.7244954e-05,0.00521967,0.0033248116,0.3748734473282447,2.3641656e-05,0.0048622685,geode,aircross,63273150
0.0036828283,0.34410161547520574,2.6553225e-05,0.005152982,0.0031552848,0.35575926093432136,2.2731378e-05,0.0047677434,geode,aircross,10799678
0.003957845,0.3697975194125734,2.877352e-05,0.0053640953,0.0033859923,0.3817715958383087,2.25536e-05,0.004749063,geode,aircross,72833750
0.0038049112,0.35550831367399477,2.7998822e-05,0.005291391,0.0032310947,0.36430684682271164,2.3196459e-05,0.00481627,geode,aircross,53728009
0.0038290173,0.35776063008612213,2.7616194e-05,0.005255111,0.0034164425,0.3852048794076538,2.4596238e-05,0.0049594594,geode,aircross,51547402

0.003633777,0.3395185386646087,2.574408e-05,0.0050738626,0.0032584118,0.36738684513053627,2.3335939e-05,0.0048307288,geode,aircross,15900376
0.0040722587,0.3804876857329116,3.063357e-05,0.00553476,0.003467254,0.3909338905623705,2.350139e-05,0.004847823,geode,aircross,63273150
0.0036191302,0.33815003148071304,2.4637211e-05,0.0049635884,0.0031551453,0.35574353291008554,2.107048e-05,0.0045902594,geode,aircross,10799678
0.0040287953,0.3764266960677303,2.9160201e-05,0.0054000188,0.0034400155,0.38786272751915646,2.256945e-05,0.0047507314,geode,aircross,72833750
0.0036235638,0.3385642869461048,2.6436486e-05,0.0051416424,0.0030992557,0.3494419527455882,2.2244938e-05,0.004716454,geode,aircross,53728009
0.003812847,0.35624977167894684,2.7285292e-05,0.0052235327,0.0034210687,0.38572647332693305,2.4780644e-05,0.004978016,geode,aircross,51547402

3.2792473,0.7864789002389732,25.973862,5.0964556,3.6956506,0.7804963171147465,36.34289,6.0285068,geode,aircross_auck,15900376
3.3226519,0.7968888252375377,24.884203,4.9884067,3.7038882,0.7822360176886444,34.76402,5.896102,geode,aircross_auck,63273150
3.3045702,0.792552183088392,25.212715,5.0212264,3.6981556,0.7810253689743144,35.258873,5.937918,geode,aircross_auck,10799678
3.3051238,0.7926849778127135,25.20088,5.0200477,3.6983135,0.781058664679078,35.241394,5.936446,geode,aircross_auck,72833750
3.2840955,0.7876416760332198,25.774239,5.0768337,3.6946065,0.7802757933889934,36.064938,6.0054092,geode,aircross_auck,53728009
3.3113086,0.7941682887535386,25.077404,5.0077343,3.7001605,0.7814487431622413,35.05766,5.920951,geode,aircross_auck,51547402

3.2748692,0.7854288578594566,26.201612,5.118751,3.697551,0.7808976751210815,36.65574,6.0543985,geode,aircross_auck,15900376
3.31971,0.7961832801243892,24.931637,4.993159,3.7028902,0.7820252655284198,34.8369,5.902279,geode,aircross_auck,63273150
3.2983873,0.7910693179544467,25.348217,5.0347013,3.696395,0.7806535066194819,35.45728,5.9546013,geode,aircross_auck,10799678
3.2739801,0.7852156507191907,26.271482,5.1255713,3.6984797,0.7810937699330136,36.750896,6.0622516,geode,aircross_auck,72833750
3.282015,0.7871427066830001,25.850801,5.084368,3.6948469,0.7803265814024191,36.171993,6.0143156,geode,aircross_auck,53728009
3.3131015,0.7945983252149689,25.045551,5.004553,3.700743,0.7815717925059329,35.0098,5.916908,geode,aircross_auck,51547402

29.611032,0.5618525495470413,1820.1813,42.66358,33.899837,0.5346738453856285,2199.1748,46.89536,geode,aqi,15900376
29.403982,0.5579238807198788,1831.2172,42.792725,34.217075,0.5396773591051931,2254.5115,47.481697,geode,aqi,15900376
