test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
11.657147,0.16832070923721607,358.13803,18.924536,14.010776,0.16627465501167796,497.24844,22.299068,geode,aqism,15900376
16.209112,0.22106246071190558,943.6338,30.718622,17.3881,0.2016481725443712,922.1319,30.366625,geode,aqism,63273150
12.664155,0.1938896814708898,463.94775,21.539446,13.693756,0.17419071648265896,562.74414,23.722229,geode,aqism,10799678
12.523246,0.18230828627772236,491.0236,22.159052,14.3042755,0.17798494530283554,571.6522,23.90925,geode,aqism,72833750
15.496176,0.21442307099040847,890.74567,29.845362,15.88721,0.19111647570037216,781.14667,27.949001,geode,aqism,53728009
11.346241,0.16383144789365614,336.75003,18.35075,13.828178,0.16410765967899227,484.16965,22.003855,geode,aqism,15900376
16.249443,0.22161249403071742,950.7274,30.833868,17.373632,0.20148039203616883,911.88947,30.197508,geode,aqism,63273150
12.632588,0.19340640193006134,466.01328,21.587341,13.676236,0.17396786634810224,562.27155,23.712265,geode,aqism,10799678
12.835251,0.1868503280731021,511.9629,22.626596,14.388915,0.1790380994707471,577.50244,24.03128,geode,aqism,72833750
15.333398,0.2121706858544068,888.11285,29.801222,15.872927,0.1909446649159776,806.74866,28.40332,geode,aqism,53728009
47.989483,0.7057780788276745,3456.89,58.795322,78.569756,0.796829439820608,8873.642,94.20001,geode,aqism,15900376
39.032955,0.6392051771220891,2124.6357,46.093773,43.9394,0.6105599163026336,3172.3171,56.323326,geode,aqi,15900376
8.049876,0.1413870039010012,177.67635,13.329529,6.8181715,0.11505213919142195,137.19263,11.712926,geode,metrla,15900376
2.057705,0.39890113332630034,22.270802,4.719195,2.49595,0.3707689332853492,33.661556,5.801858,geode,nrel-al,15900376
3.2343242,0.6500661823339909,56.76766,7.5344315,4.320562,0.618302389241865,88.947685,9.431208,geode,nrel-md,15900376
11.319651,0.16344750848669284,344.15494,18.551413,13.930678,0.16532409503451506,500.17877,22.364677,geode,aqism,15900376
16.767572,0.2286788187511219,958.901,30.966127,17.592339,0.20401671747914826,892.2815,29.87108,geode,aqism,63273150
11.627062,0.16788629422438964,348.366,18.664566,13.885488,0.1647877900519504,485.2805,22.029083,geode,aqism,15900376
11.26263,0.1626241836058773,330.03116,18.16676,13.934313,0.16536722143122592,502.91046,22.425665,geode,aqism,15900376
16.097652,0.2195423498547528,896.3881,29.939741,17.377352,0.20152353613489069,926.58984,30.439938,geode,aqism,63273150
12.754379,0.1952710354994988,453.74472,21.301285,13.779634,0.17528313698413278,547.1924,23.392143,geode,aqism,10799678
12.402284,0.18054738244389382,475.47104,21.805298,14.094493,0.17537467474551385,547.0798,23.389736,geode,aqism,72833750
15.18645,0.2101373485987323,818.7574,28.613937,15.976544,0.19219113213768302,791.9361,28.14136,geode,aqism,53728009
