test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
0.0039106864,0.36539133431483634,2.7634043e-05,0.0052568093,0.0034098276,0.38445902015474887,2.3562923e-05,0.0048541655,geodeCrossC2,aircross,15900376

0.0042244373,0.39470634424959405,3.367577e-05,0.0058030826,0.0035562569,0.4009689653086188,2.7545928e-05,0.0052484213,geodeCrossC2,aircross,15900376
0.004132273,0.3860950587721137,3.242184e-05,0.005694018,0.0036080673,0.4068106104217574,2.6207435e-05,0.00511932,geodeCrossC2,aircross,15900376
0.004234509,0.39564737883715484,3.3463504e-05,0.005784765,0.0037121268,0.4185433405329832,2.7981112e-05,0.0052897176,geodeCrossC2,aircross,15900376

0.0039436608,0.36847224544304635,2.9124776e-05,0.0053967377,0.0034932576,0.3938657885304286,2.5452651e-05,0.005045062,geodeCrossC2,aircross,15900376
0.0036872989,0.34451930613786325,2.6018282e-05,0.005100812,0.0033689074,0.3798452575074003,2.3793158e-05,0.004877823,geodeCrossC2,aircross,15900376
0.0039648605,0.37045301370058314,2.859526e-05,0.0053474535,0.0034794924,0.3923137583778976,2.4017776e-05,0.0049007935,geodeCrossC2,aircross,15900376
0.004324768,0.40408066244656127,3.271057e-05,0.0057193157,0.0038161173,0.43026830062426774,2.7409766e-05,0.0052354336,geodeCrossC2,aircross,15900376
0.0042282725,0.39506469397411864,3.0188568e-05,0.0054944125,0.0036227547,0.4084666272524532,2.3861754e-05,0.0048848493,geodeCrossC2,aircross,15900376

0.0035959163,0.3359810604949291,2.5645992e-05,0.005064187,0.0032541014,0.36690084291550384,2.3185772e-05,0.0048151608,geodeCrossC2,aircross,15900376
0.0036406685,0.340162449635009,2.448202e-05,0.004947931,0.0033655427,0.37946590508220607,2.194413e-05,0.004684456,geodeCrossC2,aircross,15900376
0.0040762024,0.3808561315859854,3.1122097e-05,0.005578718,0.003547115,0.39993821576811134,2.5781115e-05,0.0050775106,geodeCrossC2,aircross,15900376
0.0042920993,0.4010282802127166,3.3626136e-05,0.0057988046,0.0037839408,0.4266403905876856,2.806902e-05,0.0052980203,geodeCrossC2,aircross,15900376
0.0043182247,0.40346928111856134,3.3395823e-05,0.005778912,0.0038357207,0.43247858932101163,2.803458e-05,0.005294769,geodeCrossC2,aircross,15900376
0.004384092,0.4096235208054071,3.4660246e-05,0.005887295,0.00391407,0.4413125067103806,2.9048533e-05,0.005389669,geodeCrossC2,aircross,15900376

0.0036826704,0.3440868483162281,2.623728e-05,0.0051222336,0.0031858434,0.3592047321559129,2.2114129e-05,0.004702566,geodeCrossC2,aircross,15900376
0.0038321028,0.35804893530054555,2.8049755e-05,0.005296202,0.0032400559,0.36531723139159894,2.2469892e-05,0.004740242,geodeCrossC2,aircross,15900376
0.003990336,0.372833270264534,2.92562e-05,0.0054089,0.0034181555,0.3853980020000635,2.3048857e-05,0.0048009227,geodeCrossC2,aircross,15900376
0.0041746437,0.390053914157614,3.0263524e-05,0.0055012293,0.0035561936,0.40096182190318896,2.3112434e-05,0.0048075393,geodeCrossC2,aircross,15900376
0.0039119776,0.365511943252983,2.52155e-05,0.0050215037,0.0035664944,0.40212325190004633,2.1780765e-05,0.004666987,geodeCrossC2,aircross,15900376
0.004293561,0.401164850250354,3.2337248e-05,0.005686585,0.00383461,0.43235339174163634,2.7331764e-05,0.005227979,geodeCrossC2,aircross,15900376

0.0035181118,0.3287114709056118,2.3250517e-05,0.004821879,0.0032275042,0.36390202251762954,2.1308759e-05,0.0046161413,geodeCrossC2,aircross,15900376
0.0039727334,0.3711886067345937,2.9162977e-05,0.005400276,0.003503976,0.39507427727709116,2.4862195e-05,0.0049862005,geodeCrossC2,aircross,15900376
0.003842382,0.3590093661848628,2.7488122e-05,0.0052429116,0.0034652327,0.3907059595338532,2.5553902e-05,0.0050550867,geodeCrossC2,aircross,15900376
0.0037185622,0.3474403758615931,2.7674427e-05,0.0052606487,0.0032460291,0.3659907166684386,2.429318e-05,0.0049288115,geodeCrossC2,aircross,15900376
0.0036223938,0.3384549680770205,2.5648176e-05,0.0050644027,0.0031865712,0.3592868186569047,2.1973015e-05,0.0046875384,geodeCrossC2,aircross,15900376
0.003944619,0.36856177003520313,2.9944262e-05,0.005472135,0.0034061316,0.384042321504676,2.4652903e-05,0.004965169,geodeCrossC2,aircross,15900376
0.0040060137,0.37429813054246824,3.065794e-05,0.005536961,0.0033843096,0.3815818569642605,2.3660597e-05,0.004864216,geodeCrossC2,aircross,15900376
