test_mae,test_mre,test_mse,test_rmse,val_mae,val_mre,val_mse,val_rmse,model,db,seed
8.923119,0.31766732737192493,174.86607,13.223694,8.283874,0.32014427607237667,153.54868,12.391476,geodeCrossV8,aircross_sp,15900376
8.708652,0.31003217038312947,168.20532,12.969399,8.239287,0.31842118314480106,156.02747,12.491096,geodeCrossV8,aircross_sp,15900376
8.9093895,0.3171785493841854,161.27402,12.69937,8.359282,0.3230585519402261,149.14015,12.212296,geodeCrossV8,aircross_sp,15900376
8.655863,0.3081528919917745,160.78502,12.680103,8.153196,0.31509403871807207,150.79524,12.279871,geodeCrossV8,aircross_sp,15900376
8.412463,0.29948774441411813,164.53548,12.827138,7.89247,0.3050178268048124,147.37698,12.139893,geodeCrossV8,aircross_sp,15900376
8.709647,0.3100676292904288,162.62387,12.752406,8.158216,0.3152880742412107,149.25739,12.217094,geodeCrossV8,aircross_sp,15900376
8.845184,0.31489281534810004,162.62003,12.752255,8.286052,0.32022846061987686,149.66783,12.23388,geodeCrossV8,aircross_sp,15900376
8.757629,0.3117758179078705,171.20833,13.08466,8.281633,0.3200577187170668,160.40747,12.665207,geodeCrossV8,aircross_sp,15900376
8.68556,0.30921010488408257,160.77704,12.679789,8.29001,0.320381456593857,153.48157,12.388768,geodeCrossV8,aircross_sp,15900376
8.831639,0.3144105916870332,163.29584,12.778726,8.278026,0.3199182911933785,150.51498,12.268455,geodeCrossV8,aircross_sp,15900376
8.525699,0.30351898303416847,165.67133,12.871337,8.046049,0.3109531548919456,152.54501,12.350911,geodeCrossV8,aircross_sp,15900376

8.496121,0.302466008606442,162.69797,12.755311,8.090068,0.31265432441215313,152.34882,12.342966,geodeCrossV8,aircross_sp,15900376
8.585277,0.30563996314545744,168.64563,12.986363,8.245194,0.31864947399195226,161.1127,12.693018,geodeCrossV8,aircross_sp,15900376
8.629754,0.3072234010785619,167.14218,12.928348,8.144577,0.3147609432893565,152.24762,12.338866,geodeCrossV8,aircross_sp,15900376
8.594576,0.3059710440334516,164.1154,12.810754,8.154707,0.31515242315812086,150.1665,12.254244,geodeCrossV8,aircross_sp,15900376
8.5510235,0.30442053066799973,155.60959,12.474358,8.106537,0.3132908050422212,147.64557,12.1509495,geodeCrossV8,aircross_sp,15900376
8.677744,0.30893185186907046,166.59958,12.907346,8.231453,0.3181183995003581,157.09448,12.533733,geodeCrossV8,aircross_sp,15900376
8.575719,0.3052997062001215,163.79997,12.798436,8.2685995,0.3195539816450261,160.777,12.679787,geodeCrossV8,aircross_sp,15900376
8.564887,0.3049140933142104,159.01956,12.610296,8.226521,0.3179277727997066,154.49036,12.429415,geodeCrossV8,aircross_sp,15900376
8.646681,0.3078260058728508,166.49866,12.903436,8.322406,0.3216334302018175,159.75488,12.639418,geodeCrossV8,aircross_sp,15900376

8.589942,0.3058060497833439,161.12904,12.693662,8.202396,0.31699545984948296,155.86357,12.484533,geodeCrossV8,aircross_sp,15900376
9.238005,0.3288774107578167,172.56935,13.136565,8.372055,0.3235521962241187,149.72383,12.236169,geodeCrossV8,aircross_sp,63273150
9.089849,0.32360301299775346,168.49318,12.980493,8.365698,0.3233065270662489,149.25163,12.216859,geodeCrossV8,aircross_sp,10799678
8.866636,0.31565650364424863,167.2976,12.934358,8.219561,0.3176588100215082,152.2361,12.338399,geodeCrossV8,aircross_sp,72833750

8.600404,0.30617851032039844,158.93669,12.60701,8.199171,0.31687080388990546,152.60684,12.353415,geodeCrossV8,aircross_sp,15900376
8.493291,0.3023652249099713,159.52998,12.630518,8.140118,0.3145885972347878,151.80457,12.3209,geodeCrossV8,aircross_sp,15900376
8.834335,0.31450659072503284,178.84898,13.373444,8.305494,0.32097987203948564,163.51718,12.787384,geodeCrossV8,aircross_sp,15900376
8.6492405,0.3079171110136015,157.8403,12.563451,8.060648,0.31151734843338996,142.19678,11.924629,geodeCrossV8,aircross_sp,15900376
